title,0
Toy Story (1995),0
Jumanji (1995),1
Grumpier Old Men (1995),2
Waiting to Exhale (1995),3
Father of the Bride Part II (1995),4
Heat (1995),5
Sabrina (1995),6
Tom and Huck (1995),7
Sudden Death (1995),8
GoldenEye (1995),9
"American President, The (1995)",10
Dracula: Dead and Loving It (1995),11
Balto (1995),12
Nixon (1995),13
Cutthroat Island (1995),14
Casino (1995),15
Sense and Sensibility (1995),16
Four Rooms (1995),17
Ace Ventura: When Nature Calls (1995),18
Money Train (1995),19
Get Shorty (1995),20
Copycat (1995),21
Assassins (1995),22
Powder (1995),23
Leaving Las Vegas (1995),24
Othello (1995),25
Now and Then (1995),26
Persuasion (1995),27
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",28
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),29
Dangerous Minds (1995),30
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),31
Wings of Courage (1995),32
Babe (1995),33
Carrington (1995),34
Dead Man Walking (1995),35
Across the Sea of Time (1995),36
It Takes Two (1995),37
Clueless (1995),38
"Cry, the Beloved Country (1995)",39
Richard III (1995),40
Dead Presidents (1995),41
Restoration (1995),42
Mortal Kombat (1995),43
To Die For (1995),44
How to Make an American Quilt (1995),45
Seven (a.k.a. Se7en) (1995),46
Pocahontas (1995),47
When Night Is Falling (1995),48
"Usual Suspects, The (1995)",49
Guardian Angel (1994),50
Mighty Aphrodite (1995),51
Lamerica (1994),52
"Big Green, The (1995)",53
Georgia (1995),54
Kids of the Round Table (1995),55
Home for the Holidays (1995),56
"Postman, The (Postino, Il) (1994)",57
"Confessional, The (Confessionnal, Le) (1995)",58
"Indian in the Cupboard, The (1995)",59
Eye for an Eye (1996),60
Mr. Holland's Opus (1995),61
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),62
Two if by Sea (1996),63
Bio-Dome (1996),64
Lawnmower Man 2: Beyond Cyberspace (1996),65
Two Bits (1995),66
French Twist (Gazon maudit) (1995),67
Friday (1995),68
From Dusk Till Dawn (1996),69
Fair Game (1995),70
Kicking and Screaming (1995),71
"Misérables, Les (1995)",72
Bed of Roses (1996),73
Big Bully (1996),74
Screamers (1995),75
Nico Icon (1995),76
"Crossing Guard, The (1995)",77
"Juror, The (1996)",78
"White Balloon, The (Badkonake sefid) (1995)",79
Things to Do in Denver When You're Dead (1995),80
Antonia's Line (Antonia) (1995),81
Once Upon a Time... When We Were Colored (1995),82
Last Summer in the Hamptons (1995),83
Angels and Insects (1995),84
White Squall (1996),85
Dunston Checks In (1996),86
Black Sheep (1996),87
Nick of Time (1995),88
"Journey of August King, The (1995)",89
Mary Reilly (1996),90
Vampire in Brooklyn (1995),91
Beautiful Girls (1996),92
Broken Arrow (1996),93
In the Bleak Midwinter (1995),94
"Hate (Haine, La) (1995)",95
Shopping (1994),96
Heidi Fleiss: Hollywood Madam (1995),97
City Hall (1996),98
Bottle Rocket (1996),99
